YEAR,MONTH,OP_UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY,DEP_DELAY,CANCELLED
2019,1,UA,MCO,DFW,13,18,0
2019,1,UA,LAX,ORD,7,6,0
2019,1,AA,JFK,DEN,9,2,0
2019,1,DL,SEA,ATL,0,14,0
2019,1,AA,DFW,SFO,0,0,0
2019,1,WN,LAX,JFK,5,8,0
2019,1,UA,ORD,SFO,11,15,0
2019,1,DL,JFK,DEN,20,11,0
2019,1,WN,SFO,SEA,0,1,0
2019,1,WN,SFO,DFW,0,9,0
2019,1,UA,SFO,ORD,0,0,0
2019,1,AA,MCO,SFO,5,7,0
2019,1,UA,DFW,SFO,5,0,0
2019,1,WN,ORD,JFK,13,13,0
2019,1,DL,ATL,SEA,3,0,0
2019,1,AA,MCO,DFW,0,0,0
2019,1,WN,DEN,SFO,2,5,0
2019,1,AA,ORD,MCO,18,15,0
2019,1,UA,MCO,SEA,12,7,0
2019,1,WN,ATL,DEN,11,14,0
2019,1,DL,MCO,SFO,14,16,0
2019,1,UA,ATL,DFW,23,10,0
2019,1,WN,DEN,SEA,15,17,0
2019,1,AA,JFK,MCO,1,24,0
2019,1,WN,JFK,DEN,10,0,0
2019,1,DL,ATL,LAX,0,0,0
2019,1,AA,MCO,JFK,12,22,0
2019,1,UA,ORD,DFW,5,0,0
2019,1,WN,SFO,LAX,0,24,0
2019,1,AA,SFO,ORD,14,20,0
2019,1,UA,JFK,DFW,9,12,0
2019,1,AA,DFW,DEN,10,0,0
2019,1,DL,MCO,JFK,23,4,0
2019,1,WN,JFK,DFW,14,15,0
2019,1,AA,ORD,SEA,9,5,0
2019,1,AA,ATL,DFW,0,5,0
2019,1,DL,LAX,DFW,12,6,0
2019,1,AA,DFW,ATL,13,22,0
2019,1,AA,SEA,SFO,23,7,0
2019,1,UA,LAX,ORD,0,3,0
2019,1,DL,DEN,SEA,8,0,0
2019,1,WN,LAX,ORD,2,3,0
2019,1,DL,MCO,DFW,10,0,0
2019,1,WN,DFW,SEA,0,2,0
2019,1,AA,DFW,ATL,13,27,0
2019,1,WN,SEA,LAX,2,16,0
2019,1,AA,SFO,SEA,4,0,0
2019,1,DL,ORD,MCO,15,1,0
2019,1,UA,LAX,ATL,6,9,0
2019,1,DL,MCO,DFW,7,0,0
2019,1,WN,SFO,DFW,7,16,0
2019,1,DL,ATL,DEN,0,11,0
2019,1,DL,ATL,LAX,0,7,0
2019,1,AA,LAX,SEA,0,3,0
2019,1,WN,JFK,SFO,10,4,0
2019,1,AA,MCO,DFW,0,10,0
2019,1,DL,JFK,DFW,6,17,0
2019,1,UA,SFO,SEA,11,9,0
2019,1,AA,DEN,JFK,14,9,0
2019,1,DL,DEN,LAX,0,8,0
2019,1,UA,SFO,MCO,8,1,0
2019,1,WN,JFK,LAX,10,0,0
2019,1,UA,JFK,SFO,8,15,0
2019,1,DL,SEA,MCO,0,7,0
2019,1,AA,SEA,JFK,0,4,0
2019,1,DL,DFW,DEN,17,3,0
2019,1,DL,DFW,SFO,0,2,0
2019,1,UA,DFW,ORD,4,10,0
2019,1,AA,LAX,JFK,4,0,0
2019,1,WN,DEN,SFO,0,11,0
2019,1,AA,DEN,DFW,8,0,0
2019,1,DL,DFW,SFO,0,1,0
2019,1,WN,LAX,MCO,13,8,0
2019,1,UA,SEA,LAX,0,5,0
2019,1,UA,SEA,SFO,10,11,0
2019,1,UA,MCO,SEA,0,11,0
2019,1,DL,JFK,ORD,5,14,0
2019,1,WN,LAX,ATL,14,0,0
2019,1,DL,ATL,DFW,5,4,0
2019,1,UA,MCO,DEN,0,0,0
2019,1,WN,JFK,DFW,14,11,0
2019,1,UA,SEA,ATL,0,8,0
2019,1,DL,SEA,DFW,10,24,0
2019,1,AA,SEA,LAX,0,17,0
2019,1,UA,DEN,SFO,10,0,0
2019,1,WN,MCO,DFW,6,5,0
2019,1,UA,ORD,DEN,21,0,0
2019,1,WN,ATL,SFO,0,7,0
2019,1,UA,DEN,DFW,8,7,0
2019,1,DL,DEN,DFW,6,18,0
2019,1,UA,SEA,SFO,0,0,0
2019,1,WN,ATL,JFK,8,0,0
2019,1,WN,SFO,ORD,4,21,0
2019,1,UA,SFO,MCO,11,8,0
2019,1,DL,DFW,SEA,0,23,0
2019,1,DL,JFK,DFW,8,18,0
2019,1,AA,MCO,ATL,27,0,0
2019,1,AA,JFK,SEA,14,0,0
2019,1,AA,MCO,DEN,6,10,0
2019,1,DL,DEN,JFK,2,0,0
2019,1,UA,LAX,MCO,0,17,0
2019,1,WN,DEN,SFO,4,19,0
2019,1,DL,JFK,MCO,0,16,0
2019,1,UA,ORD,MCO,13,0,0
2019,1,AA,ORD,SEA,0,6,0
2019,1,UA,LAX,SFO,8,5,0
2019,1,UA,SFO,MCO,6,18,0
2019,1,DL,DEN,LAX,0,18,0
2019,1,DL,SFO,LAX,0,0,0
2019,1,DL,LAX,JFK,0,15,0
2019,1,DL,LAX,ATL,0,9,0
2019,1,WN,DFW,MCO,0,12,0
2019,1,AA,SFO,LAX,19,10,0
2019,1,AA,ATL,JFK,4,19,0
2019,1,WN,SFO,DEN,19,0,0
2019,1,UA,LAX,DEN,14,10,0
2019,1,DL,JFK,SFO,5,0,0
2019,1,DL,SFO,JFK,0,2,0
2019,1,UA,SEA,LAX,12,0,0
2019,1,AA,SEA,SFO,12,11,0
2019,1,UA,DFW,LAX,5,14,0
2019,1,UA,JFK,ORD,0,7,0
2019,1,UA,MCO,ATL,7,7,0
2019,1,DL,ORD,ATL,10,15,0
2019,1,WN,SFO,SEA,14,8,0
2019,1,UA,MCO,ATL,9,17,0
2019,1,WN,DFW,JFK,21,1,0
2019,1,AA,ATL,LAX,19,0,0
2019,1,UA,ORD,DFW,0,17,0
2019,1,UA,ORD,SEA,12,7,0
2019,1,WN,ATL,DFW,12,0,0
2019,1,AA,SFO,DFW,11,0,0
2019,1,AA,SEA,SFO,11,0,0
2019,1,UA,ATL,LAX,8,14,0
2019,1,WN,MCO,DFW,9,0,0
2019,1,UA,DEN,DFW,3,24,0
2019,1,DL,ORD,DFW,0,18,0
2019,1,DL,ATL,LAX,0,3,0
2019,1,DL,DEN,ORD,11,13,0
2019,1,WN,SFO,ATL,16,7,0
2019,1,DL,ORD,DEN,21,2,0
2019,1,AA,ATL,LAX,1,19,0
2019,1,WN,DEN,SFO,0,10,0
2019,1,WN,SFO,LAX,8,4,0
2019,1,AA,DEN,LAX,8,0,0
2019,1,UA,LAX,SFO,9,5,0
2019,1,AA,SEA,SFO,0,6,0
2019,1,WN,ORD,SEA,0,10,0
2019,1,AA,MCO,JFK,0,14,0
2019,1,UA,MCO,ATL,0,5,0
2019,1,WN,ATL,MCO,11,5,0
2019,1,WN,DEN,DFW,6,0,0
2019,1,WN,MCO,SFO,26,13,0
2019,1,DL,ORD,JFK,14,23,0
2019,1,AA,ORD,MCO,0,5,0
2019,1,UA,LAX,ATL,5,1,0
2019,1,DL,SEA,JFK,0,3,0
2019,1,AA,SEA,DFW,12,5,0
2019,1,DL,MCO,SEA,9,0,0
2019,1,AA,ORD,SEA,15,0,0
2019,1,UA,LAX,DEN,10,13,0
2019,1,WN,JFK,DFW,10,10,0
2019,1,DL,ATL,SEA,9,5,0
2019,1,DL,MCO,DEN,16,0,0
2019,1,UA,MCO,SFO,0,17,0
2019,1,DL,DFW,JFK,5,2,0
2019,1,UA,LAX,SEA,13,8,0
2019,1,AA,DEN,MCO,6,7,0
2019,1,DL,JFK,DEN,16,0,0
2019,1,WN,LAX,ORD,1,0,0
2019,1,AA,DFW,SEA,9,10,0
2019,1,UA,DEN,SFO,7,17,0
2019,1,WN,ORD,DFW,10,6,0
2019,1,DL,JFK,SEA,0,15,0
2019,1,WN,SEA,ORD,2,12,0
2019,1,DL,DFW,MCO,6,5,0
2019,1,UA,ATL,SFO,0,14,0
2019,1,AA,SFO,MCO,6,10,0
2019,1,UA,MCO,ORD,1,8,0
2019,1,UA,ATL,DEN,17,9,0
2019,1,WN,ATL,LAX,0,8,0
2019,1,AA,MCO,DEN,0,8,0
2019,1,DL,JFK,ATL,15,6,0
2019,1,WN,MCO,ORD,9,6,0
2019,1,WN,SFO,JFK,0,5,0
2019,1,AA,DEN,LAX,3,6,0
2019,1,UA,ATL,LAX,18,3,0
2019,1,UA,SEA,ORD,2,8,0
2019,1,AA,DEN,ATL,13,12,0
2019,1,AA,ORD,DFW,17,6,0
2019,1,UA,JFK,LAX,2,0,0
2019,1,WN,DFW,DEN,8,1,0
2019,1,DL,SEA,ATL,17,6,0
2019,1,AA,MCO,ORD,0,10,0
2019,1,DL,MCO,LAX,13,15,0
2019,1,DL,SFO,ORD,5,7,0
2019,1,AA,ORD,SFO,12,15,0
2019,1,AA,SFO,ORD,0,7,0
2019,1,AA,SFO,MCO,5,12,0
2019,1,DL,SFO,DEN,11,3,0
2019,1,UA,MCO,ORD,1,11,0
2019,1,WN,JFK,DEN,19,14,0
2019,1,UA,DEN,SFO,4,10,0
2019,1,UA,MCO,ATL,11,13,0
2019,1,AA,SFO,JFK,1,0,0
2019,1,WN,DEN,MCO,1,7,0
2019,1,AA,ATL,DEN,0,18,0
2019,1,UA,DEN,JFK,0,15,0
2019,1,UA,DFW,JFK,0,0,0
2019,1,UA,LAX,SEA,16,16,0
2019,1,WN,ATL,ORD,9,17,0
2019,1,AA,DEN,SFO,15,12,0
2019,1,UA,ORD,SFO,22,5,0
2019,1,UA,ATL,DEN,9,10,0
2019,1,WN,DFW,ATL,16,6,0
2019,1,AA,ORD,LAX,17,1,0
2019,1,UA,JFK,ATL,11,0,0
2019,1,DL,ORD,LAX,8,0,0
2019,1,WN,SFO,SEA,0,0,0
2019,1,UA,DEN,ORD,17,0,0
2019,1,AA,MCO,ORD,4,0,0
2019,1,AA,JFK,ORD,0,12,0
2019,1,WN,LAX,DFW,5,7,0
2019,1,WN,SFO,JFK,0,0,0
2019,1,DL,SFO,MCO,0,6,0
2019,1,UA,DEN,JFK,21,8,0
2019,1,WN,SFO,MCO,0,10,0
2019,1,UA,DEN,LAX,0,9,0
2019,1,WN,ORD,SEA,7,13,0
2019,1,UA,ATL,DFW,19,0,0
2019,1,AA,SFO,JFK,5,0,0
2019,1,WN,MCO,LAX,24,4,0
2019,1,AA,SFO,SEA,10,10,0
2019,1,DL,DFW,LAX,19,9,0
2019,1,UA,MCO,SEA,4,10,0
2019,1,DL,DFW,ORD,7,11,0
2019,1,DL,MCO,DEN,16,16,0
2019,1,UA,DEN,MCO,0,21,0
2019,1,UA,DFW,ORD,7,8,0
2019,1,WN,DFW,MCO,6,11,0
2019,1,DL,ORD,DFW,20,9,0
2019,1,DL,SFO,LAX,11,0,0
2019,1,UA,ORD,LAX,0,4,0
2019,1,DL,DFW,ATL,0,13,0
2019,1,DL,SEA,MCO,4,0,0
2019,1,DL,MCO,DFW,0,4,0
2019,1,AA,ORD,MCO,0,0,0
2019,1,AA,DFW,ATL,15,13,0
2019,1,AA,JFK,DEN,1,22,0
2019,1,AA,ORD,LAX,17,8,0
2019,1,WN,SFO,LAX,17,13,0
2019,1,AA,JFK,ORD,0,11,0
2019,1,AA,SEA,ATL,0,0,0
2019,1,UA,LAX,DFW,6,12,0
2019,1,AA,LAX,MCO,18,0,0
2019,1,DL,SEA,DEN,10,5,0
2019,1,AA,ATL,ORD,19,17,0
2019,1,AA,SFO,ATL,10,11,0
2019,1,WN,ATL,DEN,19,12,0
2019,1,WN,JFK,SFO,3,11,0
2019,1,UA,ATL,JFK,6,17,0
2019,1,WN,MCO,DEN,1,8,0
2019,1,WN,LAX,JFK,10,11,0
2019,1,UA,JFK,DEN,11,18,0
2019,1,UA,MCO,DFW,5,6,0
2019,1,DL,JFK,ORD,4,13,0
2019,1,DL,ATL,JFK,3,6,0
2019,1,DL,SEA,JFK,16,9,0
2019,1,WN,DEN,MCO,9,8,0
2019,1,UA,LAX,SFO,10,0,0
2019,1,AA,JFK,SFO,15,1,0
2019,1,AA,SEA,ATL,8,7,0
2019,1,WN,SFO,LAX,10,11,0
2019,1,DL,JFK,DEN,0,22,0
2019,1,DL,DEN,ATL,8,11,0
2019,1,UA,SEA,DEN,4,9,0
2019,1,AA,LAX,ORD,19,5,0
2019,1,UA,ORD,DFW,2,16,0
2019,1,AA,MCO,SEA,7,0,0
2019,1,DL,ORD,JFK,24,8,0
2019,1,WN,LAX,DEN,4,4,0
2019,1,WN,SEA,DEN,0,0,0
2019,1,AA,ATL,JFK,12,14,0
2019,1,AA,SEA,SFO,0,5,0
2019,1,AA,LAX,SFO,6,1,0
2019,1,AA,ATL,JFK,0,16,0
2019,1,UA,SEA,ATL,7,8,0
2019,1,UA,ATL,DEN,6,18,0
2019,1,UA,SEA,DFW,2,2,0
2019,1,UA,LAX,SFO,0,11,0
2019,1,DL,DEN,SEA,8,25,0
2019,1,UA,SEA,DFW,8,0,0
2019,1,UA,JFK,SFO,17,23,0
2019,1,WN,ORD,ATL,1,15,0
2019,1,WN,MCO,SFO,2,0,0
2019,1,WN,DFW,SEA,0,1,0
2019,1,AA,ATL,ORD,2,17,0
2019,1,AA,LAX,ATL,5,15,0
2019,1,AA,DFW,ATL,8,21,0
2019,1,WN,DFW,JFK,14,1,0
2019,1,WN,DEN,ATL,15,3,0
2019,1,UA,LAX,DFW,2,17,0
2019,1,UA,JFK,MCO,3,0,0
2019,1,UA,LAX,JFK,10,0,0
2019,1,DL,LAX,ORD,9,0,0
2019,1,WN,ATL,MCO,18,3,0
2019,1,UA,SFO,ORD,11,6,0
2019,1,UA,DFW,SFO,5,11,0
2019,1,WN,LAX,ATL,0,10,0
2019,1,WN,ATL,DFW,17,3,0
2019,1,DL,JFK,SFO,6,4,0
2019,1,AA,SEA,JFK,8,18,0
2019,1,DL,LAX,SFO,4,12,0
2019,1,UA,ATL,DFW,0,0,0
2019,1,UA,DEN,ATL,12,3,0
2019,1,WN,SEA,ATL,3,12,0
2019,1,AA,ORD,ATL,17,14,0
2019,1,UA,SEA,JFK,2,25,0
2019,1,AA,JFK,SFO,5,9,0
2019,1,WN,DEN,DFW,0,3,0
2019,1,AA,JFK,SFO,19,0,0
2019,1,UA,ORD,SFO,0,11,0
2019,1,DL,MCO,SFO,16,6,0
2019,1,UA,LAX,ATL,3,3,0
2019,1,AA,DEN,DFW,8,0,0
2019,1,WN,SEA,ATL,3,8,0
2019,1,AA,JFK,DFW,9,5,0
2019,1,DL,ATL,DFW,0,9,0
2019,1,WN,SFO,SEA,0,1,0
2019,1,DL,JFK,SFO,19,10,0
2019,1,WN,JFK,ATL,0,3,0
2019,1,DL,ORD,SFO,5,0,0
2019,1,AA,JFK,SEA,23,5,0
2019,1,WN,DEN,DFW,22,9,0
2019,1,UA,SFO,JFK,6,21,0
2019,1,WN,SEA,JFK,1,13,0
2019,1,UA,SFO,DEN,7,8,0
2019,1,WN,ORD,SEA,5,0,0
2019,1,DL,SFO,MCO,9,4,0
2019,1,WN,DFW,JFK,3,0,0
2019,1,AA,SFO,JFK,3,2,0
2019,1,WN,MCO,DEN,0,3,0
2019,1,DL,DEN,SFO,6,18,0
2019,1,WN,SFO,DFW,12,6,0
2019,1,WN,ATL,SEA,0,0,0
2019,1,UA,ORD,DEN,6,0,0
2019,1,DL,DFW,SFO,0,0,0
2019,1,WN,DEN,ATL,5,17,0
2019,1,WN,DEN,LAX,19,0,0
2019,1,DL,SEA,DFW,24,0,0
2019,1,WN,ORD,ATL,0,9,0
2019,1,AA,ATL,DFW,0,17,0
2019,1,UA,ATL,DFW,2,5,0
2019,1,AA,JFK,SFO,5,2,0
2019,1,UA,MCO,DEN,0,11,0
2019,1,AA,JFK,MCO,8,10,0
2019,1,AA,ATL,JFK,6,16,0
2019,1,UA,DFW,DEN,10,19,0
2019,1,AA,DEN,JFK,14,0,0
2019,1,DL,SEA,DFW,0,0,0
2019,1,UA,MCO,JFK,1,2,0
2019,1,DL,SEA,SFO,9,11,0
2019,1,UA,SEA,DEN,1,2,0
2019,1,AA,JFK,SEA,3,11,0
2019,1,UA,ORD,ATL,8,8,0
2019,1,AA,SEA,SFO,10,8,0
2019,1,UA,LAX,DFW,11,8,0
2019,1,AA,ATL,SEA,8,1,0
2019,1,UA,DEN,JFK,3,11,0
2019,1,WN,DFW,MCO,14,7,0
2019,1,AA,LAX,DFW,9,11,0
2019,1,WN,SEA,JFK,0,22,0
2019,1,UA,MCO,JFK,0,11,0
2019,1,DL,SEA,MCO,0,5,0
2019,1,AA,DFW,ATL,4,14,0
2019,1,WN,SEA,DFW,0,5,0
2019,1,DL,DEN,SEA,14,12,0
2019,1,UA,JFK,ORD,14,13,0
2019,1,UA,MCO,SFO,0,6,0
2019,1,AA,MCO,DEN,10,6,0
2019,1,AA,ATL,LAX,10,0,0
2019,1,AA,SEA,SFO,0,1,0
2019,1,WN,LAX,ORD,0,10,0
2019,1,AA,JFK,SEA,0,0,0
2019,1,AA,ATL,JFK,3,0,0
2019,1,AA,JFK,DFW,0,24,0
2019,1,DL,LAX,DFW,12,20,0
2019,1,DL,LAX,ATL,0,17,0
2019,1,UA,JFK,ATL,5,0,0
2019,1,AA,DFW,LAX,5,10,0
2019,1,UA,ATL,DFW,0,17,0
2019,1,AA,SFO,LAX,0,12,0
2019,1,AA,JFK,DFW,6,12,0
2019,1,UA,ORD,DFW,9,12,0
2019,1,AA,ORD,SFO,13,4,0
2019,1,UA,ATL,SFO,0,7,0
2019,1,UA,ATL,ORD,29,10,0
2019,1,DL,MCO,DEN,0,19,0
2019,1,DL,JFK,ATL,0,7,0
2019,1,AA,SEA,JFK,4,7,0
2019,1,WN,LAX,JFK,2,10,0
2019,1,AA,SFO,LAX,7,0,0
2019,1,AA,DEN,ORD,9,10,0
2019,1,AA,ATL,JFK,12,1,0
2019,1,AA,ATL,LAX,13,0,0
2019,1,AA,ORD,JFK,5,12,0
2019,1,AA,SFO,JFK,15,11,0
2019,1,AA,LAX,SFO,0,11,0
2019,1,AA,SFO,ATL,4,7,0
2019,1,WN,JFK,DEN,14,3,0
2019,1,WN,DFW,MCO,10,5,0
2019,1,UA,DEN,ORD,8,5,0
2019,1,AA,DFW,MCO,7,34,0
2019,1,UA,LAX,SFO,11,1,0
2019,1,UA,ORD,MCO,6,0,0
2019,1,DL,DFW,JFK,13,0,0
2019,1,AA,DFW,SFO,3,7,0
2019,1,WN,SFO,DFW,12,26,0
2019,1,AA,JFK,DFW,0,12,0
2019,1,DL,DFW,LAX,0,16,0
2019,1,UA,MCO,DFW,10,16,0
2019,1,UA,ATL,ORD,7,7,0
2019,1,AA,DFW,SEA,18,6,0
2019,1,WN,SFO,JFK,8,2,0
2019,1,DL,SEA,SFO,5,17,0
2019,1,DL,DEN,SEA,0,4,0
2019,1,DL,LAX,MCO,3,0,0
2019,1,AA,MCO,JFK,0,1,0
2019,1,UA,DEN,ORD,10,5,0
2019,1,AA,DFW,SEA,11,0,0
2019,1,DL,ATL,MCO,3,7,0
2019,1,UA,ORD,LAX,2,6,0
2019,1,WN,ORD,DEN,0,0,0
